"loan_amnt","term","int_rate","emp_length","home_ownership","annual_inc","verification_status","issue_d","purpose","addr_state","dti","delinq_2yrs","revol_util","total_acc","bad_loan","credit_length"
16000," 36 months",17.15,6,"RENT",63175.25,"not verified",1228089600000,"debt_consolidation","CA",19.13,0,98.3,43,1,11
10000," 36 months",7.51,10,"MORTGAGE",150000,"verified",1283299200000,"debt_consolidation","CA",3.55,0,54.7,19,0,19
15000," 36 months",11.14,7,"RENT",54996,"not verified",1251763200000,"debt_consolidation","NY",12.18,0,19.6,23,0,24
19700," 60 months",17.49,6,"MORTGAGE",45000,"verified",1.304208e+12,"credit_card","WI",16.51,0,95.9,17,0,33
22500," 36 months",11.36,1,"MORTGAGE",96000,"verified",1.272672e+12,"debt_consolidation","GA",15.16,0,70.7,12,0,15
4000," 36 months",14.83,0,"RENT",35000,"not verified",1.29384e+12,"debt_consolidation","CA",15.87,0,98.1,6,0,5
20000," 60 months",17.49,7,"MORTGAGE",48500,"verified",1312156800000,"home_improvement","FL",13.86,0,18.7,38,1,18
20000," 60 months",11.71,1,"MORTGAGE",120000,"verified",1320105600000,"debt_consolidation","MA",19.42,0,39.1,23,0,37
24000," 60 months",9.62,9,"RENT",92341,"verified",1288569600000,"debt_consolidation","DC",17.41,0,40.6,21,0,16
5500," 36 months",15.45,0,"MORTGAGE",1e+05,"not verified",1204329600000,"credit_card","CA",22.46,0,79.4,57,0,25
8000," 36 months",9.99,NA,"OWN",30000,"not verified",1291161600000,"debt_consolidation","KY",8.6,0,58.2,12,0,33
30000," 60 months",16.4,6,"MORTGAGE",110000,"not verified",1296518400000,"debt_consolidation","NY",9.03,0,55.2,37,0,12
10400," 36 months",11.41,1,"RENT",55000,"not verified",1199145600000,"wedding","MA",4.95,1,56.1,12,0,10
20000," 60 months",16.49,10,"OWN",123000,"verified",1.304208e+12,"home_improvement","MT",16.52,0,44.9,18,1,13
12000," 36 months",6.91,7,"OWN",60000,"verified",1288569600000,"credit_card","NJ",24.06,0,7.4,38,0,28
10500," 36 months",14.27,6,"RENT",40000,"verified",1320105600000,"debt_consolidation","CO",9.06,0,95.8,8,0,10
14400," 36 months",18.79,7,"RENT",56400,"verified",1309478400000,"other","FL",18.64,0,70.3,33,0,10
11800," 36 months",7.51,2,"MORTGAGE",175000,"not verified",1314835200000,"debt_consolidation","NJ",7.48,0,90,26,0,20
5000," 36 months",10.08,4,"RENT",42000,"not verified",1.207008e+12,"major_purchase","MN",21.77,0,1.9,5,0,13
5000," 36 months",12.21,6,"MORTGAGE",74000,"not verified",1235865600000,"small_business","WI",17.56,0,28.4,26,0,20
6000," 36 months",7.51,5,"MORTGAGE",38400,"not verified",1285891200000,"car","NM",10.72,0,10,13,0,7
8325," 36 months",6.99,2,"MORTGAGE",106369,"verified",1309478400000,"home_improvement","OR",15.07,0,39.6,22,0,13
3000," 36 months",10.99,0,"RENT",19200,"not verified",1267401600000,"other","NY",17.94,0,12.9,14,0,4
17000," 60 months",9.62,0,"MORTGAGE",120000,"verified",1285891200000,"credit_card","GA",13.96,0,62,35,0,12
18000," 36 months",18.79,0,"RENT",90000,"verified",1306886400000,"credit_card","CO",13.93,0,89.1,17,0,8
4200," 36 months",14.11,10,"RENT",65064,"verified",1233446400000,"debt_consolidation","CA",14.24,0,81.6,25,0,19
14000," 60 months",8.9,10,"MORTGAGE",125000,"verified",1317427200000,"debt_consolidation","PA",8.21,0,24.4,26,0,21
6250," 36 months",12.87,2,"MORTGAGE",50004,"not verified",1254355200000,"debt_consolidation","FL",21.84,0,70,29,0,12
15050," 60 months",20.99,10,"RENT",65499,"verified",1312156800000,"debt_consolidation","NV",24.97,0,90.3,31,0,11
4000," 36 months",14.42,0,"MORTGAGE",40000,"not verified",1.241136e+12,"debt_consolidation","PA",22.32,1,89.8,14,1,20
6000," 36 months",13.79,10,"MORTGAGE",107500,"verified",1233446400000,"other","MN",12.02,1,72.1,34,0,12
3000," 36 months",7.29,7,"RENT",26400,"not verified",1.301616e+12,"major_purchase","IL",17.68,1,21.4,14,0,27
12250," 60 months",18.62,5,"RENT",52000,"not verified",1296518400000,"debt_consolidation","NJ",24.92,0,66.6,18,0,7
21725," 60 months",13.49,6,"MORTGAGE",51600,"verified",1309478400000,"credit_card","PA",23.23,0,84,26,1,21
15000," 36 months",16,4,"RENT",65000,"verified",1257033600000,"debt_consolidation","OH",5.72,0,51.1,11,0,4
34475," 60 months",14.27,8,"RENT",60000,"verified",1322697600000,"debt_consolidation","GA",20.02,0,53.2,36,1,15
4200," 60 months",7.51,0,"RENT",36000,"verified",1275350400000,"other","AZ",15,0,20.4,21,0,23
8000," 36 months",7.51,2,"RENT",54500,"verified",1277942400000,"debt_consolidation","NY",12.29,0,38.2,11,0,7
7500," 36 months",17.49,0,"RENT",140000,"not verified",1.304208e+12,"wedding","DC",19.89,0,99.1,20,0,11
15000," 36 months",13.16,4,"MORTGAGE",76000,"not verified",1.230768e+12,"debt_consolidation","SC",21.9,0,51.3,40,1,17
10000," 36 months",18.43,7,"MORTGAGE",66000,"not verified",1254355200000,"small_business","MO",9.24,0,64.4,17,1,26
25000," 60 months",17.93,10,"MORTGAGE",92000,"verified",1275350400000,"debt_consolidation","FL",16.64,0,85.4,26,0,15
4725," 36 months",11.99,4,"MORTGAGE",45000,"verified",1309478400000,"debt_consolidation","AZ",22.93,1,37.8,19,0,14
10000," 36 months",14.54,10,"RENT",54996,"verified",1.301616e+12,"other","NJ",15.86,0,27.3,32,0,12
18500," 36 months",16.02,8,"RENT",50400,"verified",1296518400000,"home_improvement","NJ",8.29,1,26.2,11,0,14
10000," 36 months",6.99,1,"MORTGAGE",57000,"not verified",1306886400000,"home_improvement","CA",17.24,0,2.9,38,1,20
25000," 36 months",17.88,3,"MORTGAGE",330000,"verified",1.29384e+12,"debt_consolidation","SC",17.04,0,99.5,34,0,18
7500," 60 months",9.63,1,"RENT",32000,"verified",1298937600000,"debt_consolidation","WI",4.46,0,23.1,23,0,16
7000," 36 months",13.85,2,"RENT",58000,"not verified",1267401600000,"other","NY",20.44,2,63.7,36,1,15
4000," 36 months",11.49,10,"MORTGAGE",49349,"not verified",1306886400000,"debt_consolidation","NY",18.19,0,39.5,30,0,13
12000," 36 months",7.66,3,"MORTGAGE",65000,"not verified",1298937600000,"debt_consolidation","NY",13.31,0,27.6,14,0,9
12600," 60 months",7.9,10,"MORTGAGE",75000,"verified",1314835200000,"debt_consolidation","CA",11.89,0,8.8,31,0,14
20000," 60 months",16.49,10,"MORTGAGE",60000,"verified",1312156800000,"debt_consolidation","MN",16.16,0,71.9,27,1,15
16000," 36 months",13.49,5,"MORTGAGE",75000,"not verified",1309478400000,"debt_consolidation","CO",19.23,0,48,27,0,8
10075," 36 months",13.98,1,"RENT",65400,"verified",1285891200000,"credit_card","CA",19.62,0,84.5,35,0,20
29700," 60 months",15.28,0,"RENT",80000,"verified",1.301616e+12,"debt_consolidation","LA",24.42,0,57.7,24,1,18
3000," 36 months",10.37,2,"RENT",50000,"verified",1.29384e+12,"car","CA",9.58,0,83.5,27,0,13
25000," 60 months",16.77,10,"MORTGAGE",55620,"verified",1317427200000,"credit_card","SC",8.44,0,30.8,18,0,15
15000," 60 months",13.99,2,"RENT",121500,"verified",1.304208e+12,"major_purchase","NJ",25.73,0,50.5,30,1,21
5050," 60 months",13.61,10,"MORTGAGE",51996,"verified",1283299200000,"debt_consolidation","NJ",2.52,0,47.8,24,1,11
7000," 36 months",5.79,5,"RENT",41000,"not verified",1288569600000,"debt_consolidation","IL",10.57,0,23.7,40,0,10
5400," 36 months",7.9,4,"RENT",40000,"not verified",1322697600000,"debt_consolidation","MO",10.89,0,77,15,0,18
5500," 36 months",12.18,6,"MORTGAGE",97000,"not verified",1251763200000,"educational","MD",14.75,0,70.7,42,0,22
32000," 60 months",17.14,0,"MORTGAGE",170000,"verified",1.304208e+12,"debt_consolidation","GA",14.24,0,83.5,32,0,13
30000," 60 months",16.4,2,"MORTGAGE",172008,"verified",1.301616e+12,"debt_consolidation","CA",9.57,0,7.64,27,1,14
9050," 36 months",7.29,6,"RENT",62130,"not verified",1298937600000,"credit_card","NY",15.26,0,59.4,26,0,7
11000," 36 months",5.42,6,"RENT",1e+05,"verified",1312156800000,"debt_consolidation","TX",4.93,0,19.3,28,0,14
17000," 36 months",6.62,10,"OWN",44004,"verified",1317427200000,"debt_consolidation","WV",24.73,0,3.9,22,0,18
18000," 60 months",13.49,6,"RENT",52000,"verified",1322697600000,"debt_consolidation","CA",17.77,0,68.7,19,0,11
20000," 60 months",9.99,3,"MORTGAGE",54400,"verified",1291161600000,"other","MI",9.82,0,8,39,0,13
10000," 36 months",11.49,0,"MORTGAGE",54000,"not verified",1277942400000,"other","IL",18.73,0,56.5,32,0,12
8400," 36 months",11.89,0,"RENT",160000,"verified",1243814400000,"car","DC",10.78,0,43.8,11,0,19
10000," 36 months",15.7,3,"MORTGAGE",72900,"not verified",1264982400000,"major_purchase","VA",3.29,0,86.4,16,0,19
18000," 60 months",10.74,6,"MORTGAGE",70000,"verified",1298937600000,"small_business","NC",20.47,0,47.2,20,0,16
1800," 36 months",6.76,2,"RENT",25200,"verified",1267401600000,"credit_card","IL",6.05,0,18.2,15,0,13
12000," 60 months",16.77,0,"MORTGAGE",77004,"verified",1317427200000,"debt_consolidation","SC",8.93,0,48.9,24,1,11
14500," 36 months",8.88,2,"MORTGAGE",181408.5,"verified",1291161600000,"home_improvement","AZ",7.16,0,25.7,24,0,13
25000," 60 months",15.99,5,"RENT",49000,"verified",1309478400000,"debt_consolidation","CA",20.38,0,65,21,0,18
7000," 36 months",8,10,"RENT",111000,"not verified",1.230768e+12,"debt_consolidation","MD",5.1,0,27.7,50,0,23
25000," 36 months",13.48,4,"MORTGAGE",155796,"verified",1.27008e+12,"educational","NJ",17.31,0,94.4,15,0,11
2500," 36 months",14.72,6,"MORTGAGE",60000,"not verified",1277942400000,"debt_consolidation","VA",14.42,2,41.6,13,0,6
7750," 36 months",9.99,9,"RENT",112000,"verified",1306886400000,"debt_consolidation","CA",15.34,0,30,26,1,13
5800," 36 months",14.54,7,"RENT",45000,"verified",1298937600000,"debt_consolidation","FL",6.51,0,82.9,23,0,40
4500," 36 months",8,2,"OWN",26004,"not verified",1214870400000,"car","TN",1.43,0,23.5,3,0,3
5000," 36 months",11.49,5,"RENT",12000,"verified",1.304208e+12,"debt_consolidation","TX",8.6,0,30.3,8,0,5
6000," 36 months",15.23,6,"MORTGAGE",61000,"not verified",1312156800000,"wedding","PA",12.96,0,29.3,31,0,13
3000," 36 months",13.92,0,"OWN",62500,"not verified",1257033600000,"major_purchase","LA",4.63,0,19.6,19,1,20
19000," 36 months",12.29,2,"RENT",105000,"not verified",1204329600000,"debt_consolidation","NJ",10.01,3,38.6,35,0,15
8000," 36 months",14.7,0,"RENT",52800,"not verified",1196467200000,"debt_consolidation","DC",18.52,0,67.9,27,0,10
12000," 60 months",16.89,6,"MORTGAGE",105000,"verified",1314835200000,"debt_consolidation","WA",19.8,0,77.5,41,1,17
1500," 36 months",12.68,10,"MORTGAGE",80000,"not verified",1298937600000,"home_improvement","TX",8.56,5,35,35,1,18
3000," 36 months",8,0,"RENT",23000,"not verified",1.201824e+12,"wedding","OH",12.05,0,7.8,13,0,4
12000," 36 months",7.29,10,"MORTGAGE",95000,"not verified",1296518400000,"house","MI",18.29,0,7.1,57,0,16
8000," 36 months",11.86,10,"MORTGAGE",1e+05,"verified",1277942400000,"major_purchase","AR",12.3,1,15.5,36,0,25
9250," 60 months",12.61,1,"OWN",26000,"not verified",1288569600000,"other","CO",18.65,0,19.3,14,1,12
8400," 36 months",16.89,6,"MORTGAGE",60000,"not verified",1312156800000,"debt_consolidation","CA",7.24,0,97.5,7,0,12
3000," 36 months",7.68,7,"RENT",75000,"not verified",1225497600000,"small_business","CA",11.9,0,48.7,17,0,8
14000," 36 months",6.62,4,"RENT",86000,"verified",1317427200000,"wedding","VA",4.38,0,0,10,0,8
10000," 60 months",15.95,2,"OWN",69996,"verified",1288569600000,"debt_consolidation","TX",13.51,0,76.9,17,0,6
15250," 36 months",15.95,4,"MORTGAGE",50000,"not verified",1285891200000,"debt_consolidation","MN",19.46,0,86.1,14,0,10
4000," 36 months",9.32,1,"RENT",52800,"not verified",1235865600000,"major_purchase","CA",0.59,0,7.9,6,0,11
3300," 36 months",6.99,1,"RENT",40000,"not verified",1314835200000,"other","IL",20.04,0,0,16,0,5
8500," 60 months",16.49,8,"MORTGAGE",78000,"verified",1.304208e+12,"vacation","OK",22,0,89,44,0,12
10000," 36 months",10.37,10,"RENT",54996,"not verified",1298937600000,"other","FL",4.19,0,29.6,18,1,23
15000," 36 months",11.11,0,"RENT",33600,"not verified",1298937600000,"debt_consolidation","TX",7.61,0,33.7,35,0,12
1500," 36 months",14.61,0,"RENT",30000,"not verified",1259625600000,"other","RI",6.44,0,86.7,6,0,13
24000," 36 months",17.43,0,"RENT",65712,"verified",1291161600000,"debt_consolidation","MA",21.35,0,80,21,0,21
1500," 36 months",12.87,4,"MORTGAGE",58000,"not verified",1259625600000,"major_purchase","MD",17.32,0,94.6,17,0,16
